lhs_row_id,capacity_multiplier,popularity_source,w_rel,w_rec,w_gossip,audience_size,program_variant,policy,replicate,audience_seed,phi_seed,cfg_seed,is_maximin_point,fallback_to_p0,gossip_level,status,metric_mean_overload_excess,metric_mean_user_utility,metric_overflow_rate_slothall,metric_hall_utilization_variance,metric_n_skipped,metric_n_users,n_parse_errors,llmagent_cost_usd,llmagent_calls,llmagent_total_time_s,llmranker_total_time_s,llmranker_calls_delta,llmranker_cache_hits_delta,llmranker_cost_delta_usd
6,1.3840326049865799,fame_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,5,no_policy,1,6000018,6000035,1,True,False,moderate,ok,0.049468085106382974,0.0314890413390356,0.175,0.16433613332662675,369,1600,7,0.34732315,1600,1858.8922448545927,0.0,0,0,0.0
6,1.3840326049865799,fame_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,5,cosine,1,6000018,6000035,1,True,False,moderate,ok,0.020744680851063825,0.03890314006633362,0.15,0.08958301896282883,184,1600,4,0.37770635,1600,1871.9379440173507,0.0,0,0,0.0
6,1.3840326049865799,fame_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,5,capacity_aware,1,6000018,6000035,1,True,False,moderate,ok,0.00957446808510638,0.03319070323300974,0.05,0.05602501550894488,178,1600,7,0.37731645,1600,1839.3685851308983,0.0,0,0,0.0
6,1.3840326049865799,fame_only,0.8041860356780649,0.08741585871512286,0.10839810560681226,100,5,llm_ranker,1,6000018,6000035,1,True,False,moderate,ok,0.09680851063829787,0.0226320931322695,0.225,0.25579699210301293,153,1600,1,0.37799095,1600,1831.4526098903734,0.005919915973208845,0,0,0.0
7,0.9140526242680163,fame_only,0.5258386404530614,0.29683368567129187,0.17732767387564674,60,0,no_policy,1,7000021,7000038,1,True,False,moderate,ok,0.007258064516129032,0.031326226420955464,0.1,0.10904921570894516,222,960,4,0.20738520000000002,960,1065.147103965748,0.0,0,0,0.0
7,0.9140526242680163,fame_only,0.5258386404530614,0.29683368567129187,0.17732767387564674,60,0,cosine,1,7000021,7000038,1,True,False,moderate,ok,0.008064516129032256,0.0339726294700385,0.05,0.08018268007862181,110,960,5,0.22601090000000001,960,1080.9661673957016,0.0,0,0,0.0
7,0.9140526242680163,fame_only,0.5258386404530614,0.29683368567129187,0.17732767387564674,60,0,capacity_aware,1,7000021,7000038,1,True,False,moderate,ok,0.0040322580645161255,0.035476242046570405,0.05,0.0520098662658496,128,960,3,0.2244709,960,1072.8182001997484,0.0,0,0,0.0
7,0.9140526242680163,fame_only,0.5258386404530614,0.29683368567129187,0.17732767387564674,60,0,llm_ranker,1,7000021,7000038,1,True,False,moderate,ok,0.05403225806451613,0.020677510969651966,0.2,0.18052183296720237,104,960,3,0.2256522,960,1069.2611118044006,0.003427787683904171,0,0,0.0
13,0.6657772195836948,fame_only,0.6847116849394436,0.2447748369406085,0.07051347811994792,30,4,no_policy,1,13000039,13000056,1,True,False,moderate,ok,0.0,0.027855793685601975,0.0,0.061515437933207316,110,480,4,0.10381305,480,599.3509155141655,0.0,0,0,0.0
13,0.6657772195836948,fame_only,0.6847116849394436,0.2447748369406085,0.07051347811994792,30,4,cosine,1,13000039,13000056,1,True,False,moderate,ok,0.0,0.02930542876897819,0.0,0.03401333753413147,56,480,0,0.1134598,480,588.9188837906113,0.0,0,0,0.0
