capacity_multiplier,w_gossip,w_rel,program_variant,k_swaps,n_changed_talks,replicate,mean_overload_excess,mean_user_utility,overflow_rate_slothall,hall_utilization_variance,n_skipped,n_users
0.7,0.0,1.0,0,0,0,1,0.3958333333333333,-0.0008672507364826743,0.875,0.025720164609053492,183,1600
0.7,0.0,1.0,0,0,0,2,0.44097222222222215,-0.0033826470756321216,0.85,0.033211162551440326,172,1600
0.7,0.0,1.0,0,0,0,3,0.4618055555555556,0.0010711227545107248,0.875,0.05227623456790123,167,1600
0.7,0.0,1.0,0,0,0,4,0.4513888888888889,-0.00048673864439479074,0.925,0.036265432098765434,149,1600
0.7,0.0,1.0,0,0,0,5,0.45138888888888884,-0.001455253963940777,0.925,0.02880658436213991,143,1600
0.7,0.0,1.0,1,7,12,1,0.40277777777777773,-0.0012170711581711657,0.85,0.032953960905349806,183,1600
0.7,0.0,1.0,1,7,12,2,0.44097222222222227,-0.0012722783441131468,0.9,0.02925668724279835,172,1600
0.7,0.0,1.0,1,7,12,3,0.46875,0.0005961115863465238,0.775,0.05150462962962963,167,1600
0.7,0.0,1.0,1,7,12,4,0.4375,-0.0013066814960620832,0.9,0.03838734567901234,149,1600
0.7,0.0,1.0,1,7,12,5,0.4583333333333333,-0.0020545590253459524,0.875,0.03006044238683127,143,1600
0.7,0.0,1.0,2,8,16,1,0.3923611111111111,0.0004399666778044775,0.875,0.028903034979423866,183,1600
0.7,0.0,1.0,2,8,16,2,0.44097222222222227,-0.001829446805495536,0.875,0.035815329218107,172,1600
0.7,0.0,1.0,2,8,16,3,0.5243055555555556,0.0005964349395799217,0.825,0.06857638888888888,167,1600
0.7,0.0,1.0,2,8,16,4,0.40972222222222215,0.0010149525167798855,0.925,0.02681327160493827,149,1600
0.7,0.0,1.0,2,8,16,5,0.4895833333333333,-0.002860241404196131,0.9,0.03806584362139917,143,1600
0.7,0.0,1.0,3,6,12,1,0.3958333333333333,0.0008550774544710294,0.925,0.03295396090534979,183,1600
0.7,0.0,1.0,3,6,12,2,0.40972222222222215,0.0019068239664193243,0.925,0.025012860082304522,172,1600
0.7,0.0,1.0,3,6,12,3,0.4791666666666667,0.0010135207358689512,0.85,0.054301697530864196,167,1600
0.7,0.0,1.0,3,6,12,4,0.4444444444444444,0.00023811161001503932,0.875,0.03636188271604937,149,1600
0.7,0.0,1.0,3,6,12,5,0.46875000000000006,-0.0031146910365350776,0.875,0.036233281893004114,143,1600
0.7,0.0,1.0,4,5,10,1,0.3854166666666667,0.0006592729740805225,0.9,0.029481738683127572,183,1600
0.7,0.0,1.0,4,5,10,2,0.43749999999999994,0.0016247163453226676,0.925,0.028485082304526742,172,1600
0.7,0.0,1.0,4,5,10,3,0.4826388888888889,-0.00019286930946691428,0.8,0.05073302469135802,167,1600
0.7,0.0,1.0,4,5,10,4,0.4479166666666667,-0.0008605850575986551,0.925,0.03472222222222222,149,1600
0.7,0.0,1.0,4,5,10,5,0.4756944444444445,-0.0031956386983802076,0.9,0.04057355967078189,143,1600
0.7,0.0,1.0,5,4,8,1,0.40277777777777773,-0.0002423078872379847,0.9,0.03189300411522633,183,1600
0.7,0.0,1.0,5,4,8,2,0.43749999999999994,-0.0030875418116920626,0.875,0.03456147119341563,172,1600
0.7,0.0,1.0,5,4,8,3,0.48611111111111116,-0.00036380708210344894,0.8,0.05073302469135802,167,1600
0.7,0.0,1.0,5,4,8,4,0.4270833333333333,-0.000567761463826173,0.9,0.032310956790123455,149,1600
0.7,0.0,1.0,5,4,8,5,0.48958333333333326,-0.005025641897591413,0.875,0.040477109053497946,143,1600
